Display Type,LinkedIn Link (map it to Links to get the logo),Startup Name ,Full Address,Description of startup,Website,Stage,# of Employees ,Section,Founded Year,Founded Source,Logo URL,Logo Source,Pitch,Product Category,Target Market,Monetization Model,Founders,Notable Customers,Funding,Open Role Count,Differentiation Claim,Key Metrics,Integrations,Pages Crawled,Hallucination Flags
profile,http://www.linkedin.com/company/dorai-home,Dorai,"1171 West 2400 South, West Valley City, UT","Conscientiously designed home products that help prevent bacteria and remove moisture with rapidly drying Diomat material. Dorai combines solutions found in nature with thoughtful design to create modern, organic home accessories for all surfaces that come in contact with water.",www.doraihome.com,Seed ,2-10,Consumer,2018,https://html.duckduckgo.com/html/?q=%22Dorai%22+founded+year+www.doraihome.com,http://doraihome.com/cdn/shop/files/Frame_1.png?v=1733257843&amp;width=900,og:image,"Dorai Home sells premium home goods made from diatomaceous earth that dry quickly, including dish pads, bath mats, and kitchen accessories for consumers seeking functional, stylish home products.",Direct-to-consumer home goods/accessories brand specializing in quick-drying products made from diatomaceous earth,consumer,transactional,,,,,"
<parameter name=""claim"">Uses diatomaceous earth as a proprietary material that disperses moisture for rapid evaporation, enabling faster drying than traditional materials.",,,"[""https://www.doraihome.com"", ""https://www.doraihome.com/about"", ""https://www.doraihome.com/about-us"", ""https://www.doraihome.com/company"", ""https://www.doraihome.com/team"", ""https://www.doraihome.com/our-team""]",[]
profile,http://www.linkedin.com/company/joindree,dree,"139 Hunter's Grove Lane, Lehi, UT",Find a LaundryPro in your area and schedule your laundry service within 60 seconds.,www.dree.com,Seed ,2-10,Consumer,2021,https://html.duckduckgo.com/html/?q=%22dree%22+founded+year+www.dree.com,https://icons.duckduckgo.com/ip3/dree.com.ico,ddg-favicon,<UNKNOWN>,<UNKNOWN>,,,,,,,,,,"[""https://www.dree.com"", ""https://www.dree.com/about""]",[]
profile,http://www.linkedin.com/company/bemoredriven,Driven,"1355 South 960 East, Heber City, UT",A performance improvement tool for the Pest Control industry.,pestiq.webflow.io,Seed ,2-10,B2B Software,,https://html.duckduckgo.com/html/?q=pestiq.webflow.io+founded+year,https://icons.duckduckgo.com/ip3/pestiq.webflow.io.ico,ddg-favicon,,,,,,,,,,,,[],[]
profile,http://www.linkedin.com/company/eaglecorps,EagleCorps,"350 East 400 South, Salt Lake City, UT","Join us in addressing the veteran underemployment crisis by building cohesive veteran teams for IT-related fields. As a veteran-led and founded business, we are the experts in recruiting, training, and deploying veterans into your company. ",www.eaglecorps.com,Seed ,2-10,B2B Software,2022,https://html.duckduckgo.com/html/?q=%22EagleCorps%22+founded+year+www.eaglecorps.com,https://icons.duckduckgo.com/ip3/eaglecorps.com.ico,ddg-favicon,"EagleCorps provides a 24-week online full-stack software development bootcamp specifically tailored for veterans, with job placement assistance to transition them into tech careers.",Veteran-focused coding bootcamp with job placement services,consumer,,,,,,"{""claim"": ""Founded by and exclusively serving veterans, with veteran-specific curriculum, resources, community, and job placement specialists who understand the unique challenges of military transition into civilian tech careers."", ""sourceQuote"": ""Founded by Veterans for Veterans, we understand the challenges of transitioning into civilian life. We've experienced it firsthand and recognize the unique skills you possess.""}","[{""metric"": ""graduates employed within 6 months"", ""value"": ""70%"", ""sourceQuote"": ""70 % find employment within 6 months""}, {""metric"": ""average starting salary"", ""value"": ""$60k-$80k"", ""sourceQuote"": ""On average, 70% of graduates find jobs paying $60k-$80k within 6 months of graduation.""}, {""metric"": ""program duration"", ""value"": ""24 weeks"", ""sourceQuote"": ""Become a full stack software developer in just 24 weeks.""}]",,"[""https://www.eaglecorps.com""]",[]
profile,http://www.linkedin.com/company/ednition,Ednition,"18 West 1900 South, Kaysville, UT","Ednition helps Edtech developers build and scale amazing applications. Our first product, RosterStream, is a rostering infrastructure and automation platform. Basically, we make rostering awesome.",www.ednition.com,Seed ,2-10,B2B Software,2021,https://html.duckduckgo.com/html/?q=%22Ednition%22+founded+year+www.ednition.com,https://cdn.prod.website-files.com/62758e701c2ba6455335e810/629fbaccd81f966de48af559_ednition-favicon-256.png,apple-touch-icon,"Ednition sells K-12 EdTech vendors a rostering and data integration platform (RosterStream) that replaces expensive custom engineering work and proprietary data exchanges, handling SIS connections, SSO, LMS integrations, and extended data at a predictable per-student flat rate.",B2B infrastructure SaaS for EdTech vendors; rostering and K-12 data interoperability platform,mid-market,subscription,"[{""name"": ""Mick Hewitt"", ""title"": ""Co-Founder & CEO"", ""priorCompanies"": [""MasteryConnect""]}, {""name"": ""Doug Weber"", ""title"": ""Co-Founder & CTO"", ""priorCompanies"": [""MasteryConnect""]}]","[""TalkingPoints""]","{""round"": ""Seed"", ""amountUsd"": null, ""leadInvestor"": null, ""sourceQuote"": ""Backed by People Who Believe in the Mission [logos for GSV Ventures, Reach Capital, Avalanche VC listed]""}",0,"{""claim"": ""AI-first rostering platform (Roster Intelligence) built on open standards (Ed-Fi UDM, 1EdTech specs) with private-label infrastructure so EdTech vendors control the customer relationship, unified SSO/LMS/extended data connectors, and flat-rate per-student pricing with no hidden fees or contracts"", ""sourceQuote"": ""RosterStream is purpose-built for EdTech vendors – the infrastructure layer that powers SIS, LMS, SSO, and Extended Data integrations. RosterStream is the only AI-first rostering platform. Ednition actively supports open standards as a 1Edtech member, helping vendors avoid lock-in and build scalable, future-ready integrations.""}","[{""metric"": ""founding year"", ""value"": ""2021"", ""sourceQuote"": ""Ednition was founded in 2021 by EdTech veterans who previously built, scaled, and exited a K-12 assessment platform.""}]","[""Canvas"", ""Schoology"", ""Google Classroom"", ""Microsoft"", ""Google"", ""Clever"", ""Classlink"", ""OpenId"", ""LDAP"", ""SAML""]","[""https://www.ednition.com"", ""https://www.ednition.com/about"", ""https://www.ednition.com/careers""]","[""differentiationClaim"", ""funding""]"
profile,http://www.linkedin.com/company/goerrand,Errand,"815 West 1250 South, Orem, UT","Errand is the world's first on-demand, totally customizable errand running service for busy people. Similar to other gig-economy companies such as DoorDash/Uber, Errand provides its customers with ""Errand Runners"" that can perform just about any errand under the sun.",www.goerrand.com,Seed ,2-10,Consumer,2022,https://html.duckduckgo.com/html/?q=goerrand+founded+year,https://www.goerrand.com/logo192.png,apple-touch-icon,"On-demand, same-day cold-chain delivery platform for meal-prep, frozen e-commerce, produce, and specialty goods, using trained local drivers and smart routing optimized for perishables.",B2B cold-chain logistics and last-mile delivery platform,smb,transactional,"[{""name"": ""Kason Larsen"", ""title"": ""Co-Founder & CRO""}, {""name"": ""Claire Larsen"", ""title"": ""Co-Founder & CEO""}, {""name"": ""Scott Young"", ""title"": ""Co-Founder & CTO""}]","[""Cultivate Kitchen"", ""Farm Fresh Chef"", ""Healthy for Life Meals""]",,,"{""claim"": ""Purpose-built cold-chain technology with temperature-aware routing and SOPs, combined with a professional vetted driver network (not gig workers) and human-centric support, operating across 100+ metro areas nationwide."", ""sourceQuote"": ""Purpose-Built Cold-Chain Technology: Our routing engine is engineered for perishables: tight windows, short dwell times, optimized paths for freshness. Top-Tier Driver Network: Every driver is vetted, insured, trained, and continuously scored. This is a network built on professionalism and reliability.""}","[{""metric"": ""Geographic coverage"", ""value"": ""100+ metro areas"", ""sourceQuote"": ""Vamo currently operates in 100+ metro areas""}]",,"[""https://www.goerrand.com"", ""https://www.goerrand.com/about"", ""https://www.goerrand.com/about-us"", ""https://www.goerrand.com/pricing""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/funner,Funner,,"Funner is helping students do fun things together.  Through an app, students can discover other students with shared interests and quickly invite them to get together.  Funner can tell you who the funnest people are.",www.funner.com,Seed ,2-10,Consumer,2018,https://html.duckduckgo.com/html/?q=%22Funner%22+founded+year+www.funner.com,https://icons.duckduckgo.com/ip3/funner.com.ico,ddg-favicon,"A mobile app that helps friends discover and organize local activities and adventures together, solving the ""what should we do?"" problem by surfacing community-contributed event suggestions and simplifying group coordination.",Social mobile app for group activity discovery and coordination,consumer,,,,,,,,,"[""https://www.funner.com""]",[]
profile,http://www.linkedin.com/company/giddydefi,Giddy,"13894 South Bangerter Parkway, Draper, UT","Giddy is your personal portal to the blockchain. Our self-custody mobile wallet provides a safe, easy-to-manage place for users to hold, trade, earn, and even shop with their crypto.",www.giddy.co,Series A ,2-10,FinTech,2021,https://html.duckduckgo.com/html/?q=giddydefi+founded+year,https://framerusercontent.com/images/fw3FwIPkTVfFptlbAfHh50nhIno.png,og:image,"Giddy is a self-custody mobile wallet that simplifies DeFi participation for retail crypto users, enabling them to earn passive income through staking and lending with minimal technical knowledge.",Consumer crypto wallet / DeFi mobile app,consumer,,"[{""name"": ""<UNKNOWN>"", ""sourceQuote"": ""US-based and VC-backed, Giddy was founded by a team of engineers with decades of experience in mobile app development, security, finance, and cryptography.""}]",,,0,"{""claim"": ""One-tap DeFi simplification: self-custody with auto-compounding staking and lending, designed to make institutional-grade yield strategies accessible to non-technical users"", ""sourceQuote"": ""Move your crypto out of exchanges and into the self-custody smart wallet that earns you money... Buy, send, trade and earn crypto. All in one recoverable self-custody smart wallet.""}",,,"[""https://www.giddy.co"", ""https://www.giddy.co/about"", ""https://www.giddy.co/about-us"", ""https://www.giddy.co/careers""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/inherent-biosciences-inc,Inherent Biosciences,"26 South Rio Grande Street, Salt Lake City, UT",Inherent Biosciences is pioneering epigenetic medicine for complex diseases.,www.inherentbio.com,Series A ,2-10,Bio/Medical Tech,2019,https://html.duckduckgo.com/html/?q=inherent-biosciences-inc+founded+year,http://static1.squarespace.com/static/632a4494718002027c1301cf/t/632b276d68e28b11a7df05b3/1663772525973/inherent_logo.png?format=1500w,og:image,"Inherent Biosciences develops epigenetic diagnostic tests to remove guesswork in diagnosing and treating complex diseases, starting with reproductive health and male infertility through its SpermQT test.",Epigenetic diagnostics for reproductive health and complex diseases,enterprise,,"[{""name"": ""Andy Olson"", ""title"": ""CEO & Co-founder"", ""sourceQuote"": ""Andy Olson, MBA  CEO & Co-founder""}, {""name"": ""Kristin Brogaard"", ""title"": ""CSO & Co-founder"", ""sourceQuote"": ""Kristin Brogaard, PhD  CSO & Co-founder""}]",,,,"{""claim"": ""Uses AI-identified patterns in epigenetic modifiers in sperm to predict fertility outcomes and other disease implications, detecting dysregulation across multiple genes and pathways."", ""sourceQuote"": ""Using AI, we've identified observable patterns in epigenetic modifiers in sperm that are indicitive of fertility outcomes and have implications in other indications.""}",,,"[""https://www.inherentbio.com"", ""https://www.inherentbio.com/about"", ""https://www.inherentbio.com/about-us"", ""https://www.inherentbio.com/company"", ""https://www.inherentbio.com/team"", ""https://www.inherentbio.com/our-team"", ""https://www.inherentbio.com/careers"", ""https://www.inherentbio.com/jobs"", ""https://www.inherentbio.com/pricing"", ""https://www.inherentbio.com/customers"", ""https://www.inherentbio.com/case-studies""]",[]
profile,http://www.linkedin.com/company/jipejobs,Jipe,"1053 Blackstone Drive, Fruit Heights, UT","Jipe® enters the job search market to connect entry-level job seekers with local hiring businesses in a new and meaningful way. Jipe's mobile solution provides a cool and fun interface job seekers actually WANT to use. We give businesses the right candidates, remove the unnecessary processes, and make finding your next hire so much easier!",www.jipejobs.com,Seed ,2-10,B2B Software,2020,https://html.duckduckgo.com/html/?q=%22Jipe%22+founded+year+www.jipejobs.com,https://icons.duckduckgo.com/ip3/jipejobs.com.ico,ddg-favicon,,,,,,,,,,,,[],[]
profile,http://www.linkedin.com/company/jobwise-recruiting,Veras ,"3400 North Ashton Boulevard, Lehi, UT","Veras is the first solution to help long-term care and senior housing operators save millions of dollars by optimizing your workforce with AI—cutting agency, overtime, overstaffing, churn, and time spent on scheduling and call-offs.",www.jobwise.com,Seed ,2-10,B2B Software,2014,https://html.duckduckgo.com/html/?q=jobwise-recruiting+founded+year,https://icons.duckduckgo.com/ip3/jobwise.com.ico,ddg-favicon,,,,,,,,,,,,[],[]
profile,http://www.linkedin.com/company/ketonatural-pet-foods,KetoNatural Pet Foods,"181 E Edith Ave, Salt Lake City, Utah, 84111","We believe that the best way to make pets healthier and happier is by educating and empowering their owners. That's why we aspire to be the most honest, substantive, and progressive company in the history of the pet care industry.",www.ketonaturalpetfoods.com,Seed ,2-10,Consumer,2017,https://html.duckduckgo.com/html/?q=ketonatural-pet-foods+founded+year,https://icons.duckduckgo.com/ip3/ketonaturalpetfoods.com.ico,ddg-favicon,"Direct-to-consumer low-carb dog food brand selling premium kibble with 90% fewer carbs than competitors, positioned for health-conscious pet owners seeking weight management and diabetes prevention for their dogs.",Consumer pet food / direct-to-consumer dog kibble,consumer,subscription,"[{""name"": ""Daniel Schulof"", ""title"": ""Co-Founder"", ""sourceQuote"": ""Daniel Schulof, Author of Dogs, Dog Food, and Dogma and KetoNatural Pet Foods Co-Founder.""}]",[],,,"{""claim"": ""World's first truly low-carb kibble with 90% fewer carbs than ultra-premium competitors, more protein than raw diets at lower cost, and complete nutritional transparency."", ""sourceQuote"": ""Feed her as nature intended with Ketona, the world's first truly low-carb kibble. 90% fewer carbs than other \""ultra-premium\"" kibbles. More animal protein per serving than most raw diets, at a fraction of the cost.""}","[{""metric"": ""Amazon reviews"", ""value"": ""1,023 Reviews at 4.2/5"", ""sourceQuote"": ""4.2/5 [1,023 Reviews]""}, {""metric"": ""TrustSpot reviews"", ""value"": ""612 Reviews at 4.9/5"", ""sourceQuote"": ""4.9/5 [612 Reviews]""}, {""metric"": ""Google Shopping reviews"", ""value"": ""429 Reviews at 4.7/5"", ""sourceQuote"": ""4.7/5 [429 Reviews]""}]",,"[""https://www.ketonaturalpetfoods.com"", ""https://www.ketonaturalpetfoods.com/about""]","[""differentiationClaim"", ""keyMetrics[0]"", ""keyMetrics[1]"", ""keyMetrics[2]""]"
