id,Title,description,Communities,Industries,Locations,Topics,link,email
2553,Snow College - GRIT Center,"The GRIT Center for Rural Entrepreneurship at Snow College, established in November 2019 with funding from the Utah State Legislature, provides experiential learning opportunities to help students develop leadership skills and an entrepreneurial mindset. Through diverse programming, including pitch competitions and the Entrepreneurship Seminar Series, students can acquire and practice entrepreneurial skills applicable across various aspects of life. The center is committed to fostering innovation and resourcefulness, encouraging students from all majors to participate in its events and initiatives.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Juab|Millard|Piute|Sanpete|Sevier|Wayne,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://www.snow.edu/offices/grit-center/index.html,snowcollege@snow.edu
2554,Utah Valley University (UVU) Entrepreneur Institute,"The Entrepreneurship Institute at Utah Valley University's Woodbury School of Business empowers students to become revenue-generating entrepreneurs by graduation. It connects students with expert mentors and offers hands-on, industry-specific programming, including competitions, workshops, seed funding, and mentoring. The institute also provides resources like the Entrepreneurship Lecture Series and the We Lift program, which supports women entrepreneurs.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Summit|Utah|Wasatch,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://www.uvu.edu/woodbury/entrepreneurship/,einstitute@uvu.edu
2555,Southern Utah University (SUU) - Larry H. & Gail Miller Center for Entrepreneurship,"The Larry H. & Gail Miller Center for Entrepreneurship at Southern Utah University's Dixie L. Leavitt School of Business offers programs and resources to support students from all majors in developing entrepreneurial skills. Guided by the principles of Educate, Experience, and Elevate, the center provides experiential learning opportunities, mentorship, and events such as speaker series and competitions to help students start, manage, and grow their own businesses.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Garfield|Iron|Kane|Washington,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://www.suu.edu/business/entrepreneurship/,entrepreneur@suu.edu
2556,Utah Tech University - Atwood Innovation Center,"The Business Resource Center (BRC) at Utah Tech University, sponsored by Zions Bank, offers complimentary consultations and services to assist entrepreneurs in launching or expanding their businesses. As a comprehensive support hub, the BRC provides guidance on business planning, marketing strategies, LLC formation, government contracting, and global exporting. Additionally, the center is dedicated to fostering entrepreneurship in Southern Utah's rural areas, currently serving Washington and Kane Counties.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Garfield|Iron|Kane|Washington,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://innovation.utahtech.edu/business-resource-center-at-dsu/,businesshelp@utahtech.edu
2558,Utah State University (USU) Jeffrey D. Clark Center for Entrepreneurship,"The Jeffrey D. Clark Center for Entrepreneurship at Utah State University's Jon M. Huntsman School of Business fosters entrepreneurial skills through coursework, internships, and competitions. It provides resources such as mentorship, networking opportunities, and access to legal assistance for patents and trademarks, aiming to cultivate creativity, self-reliance, and resourcefulness among students. The center also hosts the Entrepreneur Leadership Series, featuring prominent entrepreneurs who share insights and experiences with the community.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Box Elder|Cache|Rich,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://huntsman.usu.edu/ecenter/,entrepreneurship@usu.edu
2559,Make Salt Lake,"Make Salt Lake is a nonprofit makerspace in Salt Lake City, Utah, offering members 24/7 access to a variety of tools and workspaces, including 3D printers, laser cutters, CNC mills, woodworking, metalworking, textiles, and electronics labs. It fosters innovation by assisting inventors and entrepreneurs with prototyping, business planning, marketing, patent guidance, and funding opportunities.",,Consumer Packaged Goods|Manufacturing,Summit|Utah|Wasatch,Entrepreneurship Communities,http://makesaltlake.org,info@makesaltlake.org
2560,Portal Warehousing,"Portal Warehousing Salt Lake City, located at 1580 S 500 W, offers flexible co-warehousing and logistics spaces tailored for e-commerce, logistics, and growing businesses. With private warehouse units ranging from 250 to 2,500 square feet and short-term, flexible lease terms, Portal provides an adaptable environment to meet diverse operational needs. Amenities include loading equipment, private offices, shipping and receiving services, community events, and daily carrier pickups, all designed to streamline business operations and foster growth.",,Consumer Packaged Goods,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities,https://www.join-portal.com/location/salt-lake-city,
2561,Monarch,"The Monarch, located in Ogden, Utah, is a vibrant creative hub within the Nine Rails Creative District, offering artist studios, event spaces, and community-focused programming. Situated in a renovated 1920s industrial parking garage, it combines historic charm with modern amenities, providing a unique venue for workshops, markets, and public events. Regular events like Open Studio Nights and specialty markets foster collaboration and engagement between artists and the broader community.",,Arts and Entertainment and Recreation,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities,https://themonarchogden.com/,info@themonarchogden.com
2562,Startup Ogden,"Startup Ogden, located at 2314 Washington Blvd in Ogden, Utah, is a collaborative coworking space and accelerator program developed through a partnership between Ogden City and Weber State University. It offers flexible workspace options, including hot desks and dedicated desks, as well as conference rooms and an online member network to facilitate connections among entrepreneurs. The facility also houses the Weber State University Wildcat Store and Daily Rise Coffee on the ground floor, providing additional amenities for members and visitors.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities,https://startupogden.spaces.nexudus.com/home?&v=latest,
2563,Maven CREATE,"Maven Create supports entrepreneurs by offering a collaborative workspace that encourages networking and personal growth, hosting events and workshops to facilitate community engagement. Located within the Maven District, home to Salt Lake City's largest community of female-owned small businesses, it provides an environment that champions diversity and local enterprises.",Women,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities,https://mavencreateslc.com/,
2564,Salt Mine,"Salt Mine Productive Workspace, located at 7984 S 1300 E in Sandy, UT, launched in 2016 as a home for the start-up, tech, and entrepreneur community of Silicon Slopes. The 20,000sf facility provides flexible community coworking, dedicated desks, private offices, large training and event spaces, a la carte conference rooms all with floor to ceiling whiteboard walls, a built-in coffee shop and is host to many community networking events and the South Valley Chamber of Commerce Business Accelerator Academy.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities,https://meetatsaltmine.com/,info@meetatsaltmine.com
2565,Workbox,"Workbox is a comprehensive platform offering flexible coworking spaces, accelerator programs, and venture capital services to support entrepreneurs and businesses across various growth stages.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities,https://www.workboxcompany.com/,info@workboxcompany.com
2566,Indie Square,"Indie Square, established in 2024 and located at 141 East 5600 South, Suite 300, in Murray, Utah, is a mission-driven coworking space and event venue dedicated to supporting the state's nonprofit community. By offering affordable office spaces, meeting rooms, and event venues, Indie Square fosters collaboration and innovation among nonprofit organizations, enabling them to advance their missions effectively. The facility provides various workspace options, including private offices, dedicated desks, and flexible coworking areas, all designed to cultivate a collaborative environment. Additionally, Indie Square offers amenities such as high-speed internet, printing services, and access to fully equipped meeting rooms, ensuring nonprofits have the necessary resources to operate efficiently.",,Other,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities|Other,https://www.indiesquare.org/,community@indiesquare.org
2567,The Shop,"The Shop Salt Lake City is a coworking space located in downtown Salt Lake City, offering flexible workspaces, private offices, and shared desks tailored to professionals, entrepreneurs, and remote workers. The space fosters collaboration and innovation with modern amenities, a supportive community, and accessibility to the vibrant city center",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities,https://shopworkspace.com/location/salt-lake-city/,
2568,Work Hive,"Work Hive offers coworking spaces in downtown Salt Lake City and Sugar House, providing shared office environments tailored for freelancers, small businesses, and remote workers. Their facilities include private offices, conference rooms, and flexible membership options, fostering a collaborative community to enhance productivity and networking",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities,https://workhiveslc.com/,hello@workhiveSLC.com
2569,Church and State,"Church & State Marketplace, located in downtown Salt Lake City, is a versatile establishment offering a coffee-fueled co-working space and marketplace during the day, and transforming into a vibrant event venue by night. The space features vaulted ceilings, towering arches, and stained glass, creating a unique atmosphere for collaboration, conversation, commerce, and various events.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities,https://www.cs1893.com/,
2570,Kiln,"Kiln is a coworking space designed for modern professionals and teams, offering a seamless blend of productivity, lifestyle, and community. With locations in Utah, Idaho, and Colorado, it features flexible memberships, curated amenities like wellness rooms, podcast studios, and event spaces, and hosts networking and wellness programs to foster creativity and collaboration",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Davis|Garfield|Iron|Kane|Morgan|Salt Lake|Summit|Tooele|Utah|Wasatch|Washington|Weber,Entrepreneurship Communities,https://kiln.com,hello@kiln.com
2571,Make Utah,"MAKE Utah is a coworking and research development space in Pleasant Grove, Utah, designed to support technical startups and product-focused entrepreneurs. It offers access to state-of-the-art prototyping equipment, a network of industry experts, and over 50,000 square feet of collaborative work and innovation space, fostering a vibrant ecosystem for innovation and growth​",,Consumer Packaged Goods|Manufacturing,Summit|Utah|Wasatch,Entrepreneurship Communities,https://makeutah.org/,info@makeutah.org
2572,The Hub at Bridgerland Technical College,"The Hub at Bridgerland Technical College is a dedicated resource center designed to support entrepreneurs and small businesses in northern Utah. It provides services like business coaching, training, and networking opportunities to help businesses launch, grow, and thrive. With a focus on innovation and collaboration, The Hub empowers local businesses to achieve their goals and strengthen the community.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Box Elder|Cache|Rich,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://thehubatbtech.org/,malexander@btech.edu
2573,Business Resource Center - Utah Tech University,"The Business Resource Center at Utah Tech University, sponsored by Zions Bank, offers NO-COST business consultations and services to help you launch or grow your business. As a one-stop shop for all your business needs, you can meet with our team to brainstorm your business ideas, write a business plan, fine-tune your marketing strategy, launch an LLC, secure government contracts, export around the globe, find a workplace, find a mentor and much more!",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Juab|Millard|Piute|Sanpete|Sevier|Wayne,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://innovation.utahtech.edu/business-resource-center-at-dsu/,businesshelp@utahtech.edu
2574,The Mill Entrepreneurship Center,"The Mill is the home of the American dream. This is the place where entrepreneurs come to learn, network, and scale their businesses. Discover how our business incubator can help you expand your business.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://themillatslcc.com/,info@themillatmiller.com
2575,Business Resource Center - Davis Tech College,"The Business Resource Center (BRC) at Davis Technical College is an essential partner for business owners and entrepreneurs striving to succeed. Whether you’re launching a new venture or looking to grow an existing business, we provide the tools, expertise, and connections to drive your success. From crafting a solid business plan to offering workforce training and development, identifying funding sources for your startup, or navigating government contracting opportunities, the Business Resource Center serves as the catalyst to help your business thrive. Here are some of the resources we offer: business consulting and mentoring, assistance with government contracting, open lobby workspace, incubator office and shared membership space rentals, conference room rentals, business financial planning, and much more.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://brc.davistech.edu/,brc@davistech.edu
2576,Vernal Innovation Hub,"The Vernal Innovation Hub offers coworking spaces and private offices for entrepreneurs and small businesses, providing essential services like high-speed internet, mail handling, and business development classes. It also hosts the annual ""Rise & Thrive Business Speed Pitch"" competition to support startups, helping them grow and eventually transition into commercial spaces​",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Daggett|Duchesne|Uintah,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://www.vernalinnovationhub.com/,smillett@vernal.gov
2577,Southern Utah University Cedar City Business & Innovation Center,"Southern Utah University's Business and Innovation Center (BIC) fosters regional economic growth by offering entrepreneurial support and resources for startups. It provides a range of services, including business planning, marketing, and financing assistance, and plays a key role in advancing innovation through partnerships with local organizations and its accelerator programs",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Garfield|Iron|Kane|Washington,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://www.suu.edu/regional/bic/,brc@suu.edu
2578,Atwood Innovation Plaza,"The Utah Tech Innovation Center, also known as Innovation Plaza, is a hub for fostering entrepreneurship and innovation. It provides resources like a makerspace, business guidance, and collaborative opportunities to help students, faculty, and community members develop and commercialize innovative ideas",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Garfield|Iron|Kane|Washington,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://innovation.utahtech.edu/,businesshelp@utahtech.edu
2579,Utah Valley University Innovation Center/Academy,"The UVU Innovation Academy fosters a hands-on learning environment where students collaborate on real-world projects, gaining professional skills while addressing industry challenges. It serves as a hub for creativity and entrepreneurship, connecting students with resources and partnerships to innovate and excel in their careers",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Summit|Utah|Wasatch,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://www.uvu.edu/innovation/,bgodoy@uvu.edu
2580,Business Technical Assistance Center,"The Business & Technical Assistance Center (BTAC), located in Price, Utah, offers coworking spaces, business incubation services, and resources for entrepreneurs. With amenities like fiber internet, 24-hour access, commercial kitchen rentals, and flexible office space plans, it aims to foster innovation and economic growth in southeastern Utah through partnerships with local businesses and government initiatives",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Carbon|Emery|Grand|San Juan,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://www.btac.business/,info@btac.business
2581,Monticello Coworking Space,"The Monticello Coworking Space, located at 80 North Main Street in Monticello, Utah, offers a professional environment for remote workers, entrepreneurs, and small businesses. Amenities include high-speed Wi-Fi, furnished offices, meeting rooms, privacy booths, a kitchen, and lounge areas. Members enjoy 24/7 access, while non-members can reserve conference rooms and other facilities during business hours.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Carbon|Emery|Grand|San Juan,Entrepreneurship Communities,https://members.monticellocoworking.com/,
2582,University of Utah Lassonde Entrepreneurship Institute,"The Lassonde Entrepreneur Institute at the University of Utah is a nationally recognized hub for entrepreneurship and innovation. It offers a wide range of programs, including workshops, grants, competitions, and residential experiences at Lassonde Studios, supporting students from any discipline to learn, innovate, and launch businesses",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://lassonde.utah.edu/,lassonde@utah.edu
2583,Utah Defense Alliance,"The Utah Defense Alliance (UDA) is dedicated to supporting and advocating for military missions, personnel, and installations in Utah, while promoting the state's role in national defense. Through collaboration with government, industry, and community partners, UDA ensures a strong defense presence and fosters economic growth within the region.",Any,Aerospace and Defense,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://utahdefensealliance.com/home/,kjsullivan51@yahoo.com
2584,Escalante City Innovation Center,"The Escalante City Innovation Center in Utah provides furnished private offices tailored for remote workers, each equipped with dual monitors and laptop docking stations. The center also features a spacious meeting room with a conference table and a wide-screen TV, accommodating collaborative sessions and presentations. Flexible workspace options are available at daily, weekly, and monthly rates to suit various professional needs.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Garfield|Iron|Kane|Washington,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://www.escalantecity-utah.com/services/escalante-city-innovation-center/,ssteed@escalantecity.com
